a,b,x,y,a,b,x,y
0,58,-1301637000,1377753702,0,58,985740638,65190641
0,58,-729305614,-1170246236,0,58,1339204607,-1168161471
0,58,-729305614,-1170246236,0,58,-578312432,-35141630
0,58,-729305614,-1170246236,0,58,985740638,65190641
0,59,513423880,1054903597,0,59,1793108309,561015127
0,59,513423880,1054903597,0,59,1556412412,-571019721
0,60,-612847209,-123432979,0,60,2073911383,1813428526
0,60,1768538165,-2106502844,0,60,2073911383,1813428526
0,62,158356184,-461669344,0,62,1647838269,-1268921814
0,62,158356184,-461669344,0,62,-863327114,9528645
0,62,158356184,-461669344,0,62,529911347,2107076646
0,62,1428402760,-1116884314,0,62,1647838269,-1268921814
0,62,1428402760,-1116884314,0,62,-863327114,9528645
0,62,1428402760,-1116884314,0,62,529911347,2107076646
0,62,-102316611,-610528007,0,62,1647838269,-1268921814
0,62,-102316611,-610528007,0,62,-863327114,9528645
0,62,-102316611,-610528007,0,62,529911347,2107076646
0,66,1905698273,576541946,0,66,152745076,-705987971
0,69,455177118,1842437608,0,69,-1035114014,2003825611
0,69,455177118,1842437608,0,69,1728759355,216714071
0,69,-945576308,368291510,0,69,-1035114014,2003825611
0,69,-945576308,368291510,0,69,1728759355,216714071
0,71,-452898820,-1044098536,0,71,-361949424,-1361239853
0,71,-452898820,-1044098536,0,71,-1951090104,-1505861657
0,71,-452898820,-1044098536,0,71,-1852249545,1549213559
0,72,851278333,-242506312,0,72,846422315,-469989777
0,72,86542800,-851009159,0,72,846422315,-469989777
0,73,-2140275133,218087047,0,73,247242500,-1983397505
0,73,-126713540,-1916953115,0,73,247242500,-1983397505
0,73,-767495619,711141331,0,73,247242500,-1983397505
0,74,-1399300508,551861229,0,74,1869800552,28974178
0,75,1709380406,-672085854,0,75,714610487,-114552599
0,75,1709380406,-672085854,0,75,992493842,-2129672730
0,75,-673536041,594726798,0,75,714610487,-114552599
0,75,-673536041,594726798,0,75,992493842,-2129672730
0,76,-1485945601,1412054597,0,76,-1073686249,-33031800
0,76,-1485945601,1412054597,0,76,-420222345,-1949499857
0,76,-1266520276,-206383152,0,76,-1073686249,-33031800
0,76,-1266520276,-206383152,0,76,-420222345,-1949499857
0,77,321321083,1036088442,0,77,1212759600,-13493959
0,77,321321083,1036088442,0,77,-870097541,-1393821347
0,77,321321083,1036088442,0,77,251724865,1444056590
0,79,987804980,-762310879,0,79,-1657412394,-655014832
0,80,-945176091,1049837337,0,80,385650871,-1278329241
0,80,-945176091,1049837337,0,80,1583325785,-1589579866
0,80,-945176091,1049837337,0,80,-974218135,1857802000
0,81,1976704883,378109608,0,81,-283448304,941940145
0,81,1976704883,378109608,0,81,-610950703,1793947830
0,81,214687457,-831991956,0,81,-283448304,941940145
0,81,214687457,-831991956,0,81,-610950703,1793947830
0,84,-1246016225,2063191132,0,84,1856592908,1434644012
0,84,-1246016225,2063191132,0,84,-731952137,917026199
0,85,-661950460,-621352173,0,85,1158687643,2022627469
0,85,-661950460,-621352173,0,85,158098088,2003883902
0,87,-1934294336,-1087440052,0,87,387012500,1754043297
0,87,1179602698,138047170,0,87,387012500,1754043297
0,87,-684877512,-1302699720,0,87,387012500,1754043297
0,87,-1553246308,-29414285,0,87,387012500,1754043297
0,91,-1116497576,1149119372,0,91,122955494,1988535685
0,91,2126595001,1258293992,0,91,122955494,1988535685
0,91,1029207101,-243414094,0,91,122955494,1988535685
0,93,-356447805,627741039,0,93,39703408,305457599
0,96,1381562015,-87744153,0,96,-1450768665,1160899651
0,96,289188529,-336670335,0,96,-1450768665,1160899651
0,96,-452472086,-1563967761,0,96,-1450768665,1160899651
0,99,-1680120492,-1046447395,0,99,839858155,1574113948
0,99,-1680120492,-1046447395,0,99,1786512869,-853338592
0,99,-1680120492,-1046447395,0,99,-1397740147,564434473
1,2,-787195984,57063463,1,2,607454975,-572359532
1,2,-1410753396,-259043543,1,2,607454975,-572359532
1,5,228464392,1486869314,1,5,-1602310219,-1386415339
1,6,1205748009,841918502,1,6,-1953501677,-1164388512
1,6,1677857487,1864128040,1,6,-1953501677,-1164388512
1,6,-1729040733,-717434066,1,6,-1953501677,-1164388512
1,7,-709659581,1323637566,1,7,-1091217534,77409581
1,7,-709659581,1323637566,1,7,-1134900599,676284532
1,7,-709659581,1323637566,1,7,1806691697,-1832436029
1,15,1728761965,1967723147,,,,
1,19,-1232492339,445702166,,,,
1,21,-634912906,-389833741,,,,
1,26,-141823864,1498379083,,,,
1,26,389393123,1520512785,,,,
1,31,-1482073981,-138119650,,,,
1,32,-1076631518,-1221769718,,,,
1,37,749089084,602286726,,,,
1,49,-585481737,851399603,,,,
1,49,1562144811,-588967005,,,,
1,51,-906664415,-2014525357,,,,
1,53,1021269797,1016753555,,,,
1,57,294043012,-1350894653,,,,
,,,,1,8,1835411796,-265946379
,,,,1,8,-178630253,588134333
,,,,1,8,-1202370497,1280789775
,,,,1,9,-1430136068,300434283
,,,,1,30,1456781106,-1321371109
,,,,1,35,329041577,-21965592
,,,,1,36,-1062634749,-1596249219
,,,,1,38,1250540493,-1896453587
,,,,1,38,1333953255,-1496197195
,,,,1,47,-660782649,-1174383304
,,,,1,47,226349086,-809691236
1,7,-709659581,1323637566,1,7,-1706510206,1944410900
1,7,1926592945,-1033114793,1,7,-1091217534,77409581
1,7,1926592945,-1033114793,1,7,-1134900599,676284532
1,7,1926592945,-1033114793,1,7,1806691697,-1832436029
1,7,1926592945,-1033114793,1,7,-1706510206,1944410900
1,10,-1932594337,900628405,1,10,-1737766271,1435830727
1,13,-737846639,209765231,1,13,-1746801712,-1856658146
1,14,302734622,-1780477463,1,14,305281527,-549212536
1,14,302734622,-1780477463,1,14,418370978,775704058
1,14,-908949475,-778622112,1,14,305281527,-549212536
1,14,-908949475,-778622112,1,14,418370978,775704058
1,17,-128779543,1996899413,1,17,-1143243493,660104729
1,17,-128779543,1996899413,1,17,-89860634,292835889
1,20,-1943865029,-2050218584,1,20,-351835292,397570613
1,20,-1943865029,-2050218584,1,20,452780931,-1569083672
1,20,-764046149,653334119,1,20,-351835292,397570613
1,20,-764046149,653334119,1,20,452780931,-1569083672
1,22,357559821,-983365049,1,22,-776371732,-1482923571
1,22,357559821,-983365049,1,22,506311240,1594788924
1,22,2111410144,-979802128,1,22,-776371732,-1482923571
1,22,2111410144,-979802128,1,22,506311240,1594788924
1,23,-916074779,-1531143242,1,23,-1279868856,1695674944
1,23,-916074779,-1531143242,1,23,-1006659064,-841092750
1,23,1053486531,1874523071,1,23,-1279868856,1695674944
1,23,1053486531,1874523071,1,23,-1006659064,-841092750
1,24,197072216,608599744,1,24,650793978,-1204333528
1,24,-719955753,1679450285,1,24,650793978,-1204333528
1,28,377018984,1407396258,1,28,1403643659,-1347258855
1,28,377018984,1407396258,1,28,-1331215719,-769569318
1,28,377018984,1407396258,1,28,-175764242,1609122686
1,28,-110690785,1970801940,1,28,1403643659,-1347258855
1,28,-110690785,1970801940,1,28,-1331215719,-769569318
1,28,-110690785,1970801940,1,28,-175764242,1609122686
1,28,-831222277,-1521398982,1,28,1403643659,-1347258855
1,28,-831222277,-1521398982,1,28,-1331215719,-769569318
1,28,-831222277,-1521398982,1,28,-175764242,1609122686
1,34,-464330774,-511773983,1,34,652436052,47444258
1,39,833184970,-2114123362,1,39,657818484,-675000774
1,39,-94270498,-1720688386,1,39,657818484,-675000774
1,39,1876951376,804974019,1,39,657818484,-675000774
1,40,219561603,-1962219220,1,40,1960193656,259873893
1,40,219561603,-1962219220,1,40,1683906260,678851709
1,41,518884419,-1913794416,1,41,1617477355,-1502846549
1,42,1188051484,355771721,1,42,392109914,1213025875
1,42,1188051484,355771721,1,42,1444826915,-270379478
1,42,1188051484,355771721,1,42,1466930829,-788328257
1,42,1945629568,-297020458,1,42,392109914,1213025875
1,42,1945629568,-297020458,1,42,1444826915,-270379478
1,42,1945629568,-297020458,1,42,1466930829,-788328257
1,42,1366316633,-1051132580,1,42,392109914,1213025875
1,42,1366316633,-1051132580,1,42,1444826915,-270379478
1,42,1366316633,-1051132580,1,42,1466930829,-788328257
1,43,1752515284,-1517168435,1,43,11882585,-977455949
1,43,1752515284,-1517168435,1,43,891312493,-205618384
1,43,-175962949,1564921030,1,43,11882585,-977455949
1,43,-175962949,1564921030,1,43,891312493,-205618384
1,43,1816461144,1230849355,1,43,11882585,-977455949
1,43,1816461144,1230849355,1,43,891312493,-205618384
1,43,1487387376,-1856800031,1,43,11882585,-977455949
1,43,1487387376,-1856800031,1,43,891312493,-205618384
1,43,-852309658,1686219984,1,43,11882585,-977455949
1,43,-852309658,1686219984,1,43,891312493,-205618384
1,43,543686088,2136520576,1,43,11882585,-977455949
1,43,543686088,2136520576,1,43,891312493,-205618384
1,44,1564928825,1936980162,1,44,-2037992762,-1266339417
1,48,-47905499,-1874702238,1,48,653555342,867630082
1,48,272478832,-1765013064,1,48,653555342,867630082
1,50,830401561,1274427373,1,50,-1681517532,1794862368
1,50,830401561,1274427373,1,50,-1209933034,961164729
1,52,1507457795,-580111002,1,52,-985544284,-531338950
1,52,1507457795,-580111002,1,52,337696518,1637686039
1,52,1507457795,-580111002,1,52,-251247215,1537381027
1,54,-247624985,2109725530,1,54,-544443656,2036343825
1,54,-247624985,2109725530,1,54,-504193427,-506784049
1,54,-247624985,2109725530,1,54,2037211683,-245446624
1,58,360763770,2023852748,1,58,453470555,-645963389
1,62,1836054742,-1724586709,,,,
1,62,-1068819985,364135610,,,,
1,68,990149526,209049253,,,,
1,71,-1682531630,1209372070,,,,
1,72,-124041196,-1692921666,,,,
1,72,1306829458,-1917747435,,,,
1,80,-969579605,1243625701,,,,
1,80,636108191,-1227183442,,,,
1,82,2113335928,-998420619,,,,
1,82,-2042514784,-1177396118,,,,
1,83,761178518,162029556,,,,
1,86,1798798195,-1368404263,,,,
1,92,-795374212,-2104500137,,,,
1,94,-1679336162,766037518,,,,
1,95,1539695831,-41570603,,,,
1,95,-1237628584,-170030022,,,,
1,97,-1722130790,-1703080907,,,,
2,1,182818284,-2062128053,,,,
2,1,-647504136,1098828838,,,,
2,4,1874417341,-185258540,,,,
2,4,-758330612,144878863,,,,
2,4,1952502347,685724483,,,,
2,5,397365135,124514023,,,,
2,10,-395145573,-611865861,,,,
2,10,2082763025,-1965526521,,,,
2,11,-393287148,-1400983729,,,,
2,15,-931563368,-2098903674,,,,
,,,,1,65,1967370138,666773388
,,,,1,65,1333773669,-1093863278
,,,,1,69,-1615732262,1936269058
,,,,1,70,-2048186322,604985838
,,,,1,70,574748041,2133411064
,,,,1,74,1813732767,822536815
,,,,1,78,-1496687564,107741575
,,,,1,81,-1009959755,1390485468
,,,,1,81,1829363993,-1736694997
,,,,1,84,-341287057,-633338389
,,,,1,88,-238518033,-179271208
,,,,1,91,416042768,1177079067
,,,,1,91,-588912012,285896047
,,,,1,96,-1500804385,-1209608455
,,,,1,99,-664330811,-287575182
,,,,2,3,1009829905,-1001651554
,,,,2,3,1678569630,1910775894
,,,,2,7,1751220291,1513481337
,,,,2,13,-206045030,996511994
,,,,2,13,-364473581,198466925
,,,,2,16,973349089,-1128344440
,,,,2,16,-1408023404,-2075586917
1,58,360763770,2023852748,1,58,1355285843,-2011630144
1,58,1965573927,-1515989759,1,58,453470555,-645963389
1,58,1965573927,-1515989759,1,58,1355285843,-2011630144
1,59,1334366807,1666966464,1,59,851818414,-414066080
1,61,587623452,698854357,1,61,-1585330008,-1791615419
1,61,714013419,29101390,1,61,-1585330008,-1791615419
1,64,-1386657716,967335098,1,64,-1854596968,-1431240549
1,64,-1386657716,967335098,1,64,864663449,2002930719
1,64,-2026840312,-921465189,1,64,-1854596968,-1431240549
1,64,-2026840312,-921465189,1,64,864663449,2002930719
1,75,-569109147,1656831471,1,75,503693210,-503017135
1,75,-569109147,1656831471,1,75,1821952961,1873216128
1,76,107989985,960762113,1,76,987844238,141073230
1,76,107989985,960762113,1,76,-1111361214,1293409542
1,77,1293317067,1424886995,1,77,-500801151,395632657
1,77,2017922979,69823010,1,77,-500801151,395632657
1,77,1818455705,227023852,1,77,-500801151,395632657
1,79,-994178528,-1553977160,1,79,-1012080843,-917878664
1,79,1478603304,-936645572,1,79,-1012080843,-917878664
1,79,902114989,-2049425716,1,79,-1012080843,-917878664
1,85,-797011173,1762277045,1,85,-292792203,158262068
1,85,-797011173,1762277045,1,85,-219830937,-2042613416
1,89,259485935,-12133802,1,89,-1963355815,-701459008
1,89,259485935,-12133802,1,89,-442530238,-1730147729
1,98,1177760759,960765414,1,98,1864952311,2128240663
1,98,1177760759,960765414,1,98,294406180,-596139749
1,98,-1678845689,-957797306,1,98,1864952311,2128240663
1,98,-1678845689,-957797306,1,98,294406180,-596139749
1,98,-1430510929,192787297,1,98,1864952311,2128240663
1,98,-1430510929,192787297,1,98,294406180,-596139749
2,0,419529802,639539167,2,0,-1822817696,-1664591652
2,0,419529802,639539167,2,0,-222282115,-315453575
2,0,419529802,639539167,2,0,32931952,725675778
2,2,842997435,581384033,2,2,1269555629,1359084603
2,2,117976881,-1973492960,2,2,1269555629,1359084603
2,2,-629439705,1058277565,2,2,1269555629,1359084603
2,8,1407939645,-149474937,2,8,-1852533752,1835859263
2,8,1407939645,-149474937,2,8,833600506,-881530680
2,8,612963151,106518504,2,8,-1852533752,1835859263
2,8,612963151,106518504,2,8,833600506,-881530680
2,9,-608602758,-1567066451,2,9,-1517742213,397286972
2,12,1101022971,-253352933,2,12,1681499103,1643738479
2,12,1101022971,-253352933,2,12,730911497,-1064148677
2,12,535302028,1625177101,2,12,1681499103,1643738479
2,12,535302028,1625177101,2,12,730911497,-1064148677
2,12,-913999779,490366980,2,12,1681499103,1643738479
2,12,-913999779,490366980,2,12,730911497,-1064148677
2,17,-76884507,-1034674386,2,17,-565414594,-2020940674
2,17,-76884507,-1034674386,2,17,1384200079,-355303619
2,17,-1969264923,-125314409,2,17,-565414594,-2020940674
2,17,-1969264923,-125314409,2,17,1384200079,-355303619
2,18,172988038,-854104148,,,,
2,18,209199137,-479021910,,,,
2,25,1951139956,-1479146672,,,,
2,32,-1570547126,-1431755853,,,,
2,32,1499138096,-1431011533,,,,
2,46,776377898,1727940264,,,,
2,49,-804206966,-1165443408,,,,
2,52,1048432693,232834733,,,,
2,52,-2076087949,-1845394667,,,,
2,57,876235453,-2061670799,,,,
2,59,97032530,1585781984,,,,
2,60,1407207475,927628960,,,,
2,66,1985820117,-360609189,,,,
,,,,2,19,-571585546,1978428085
,,,,2,19,-949451163,551894358
,,,,2,19,-1168449033,-700365472
,,,,2,26,1600652783,583086600
,,,,2,26,1416780668,-879880631
,,,,2,27,1409695115,-576929571
,,,,2,31,-908824647,-276036257
,,,,2,31,711013766,127749885
,,,,2,35,1872538037,-387695479
,,,,2,35,60926926,1256933803
,,,,2,37,23295333,-2114006182
,,,,2,51,1239000386,70988777
,,,,2,56,-742880903,-690949190
,,,,2,56,-238932258,-465148467
,,,,2,56,-1539862939,-1668493072
,,,,2,58,2030074477,2044071215
,,,,2,61,-1051165361,-1348725749
,,,,2,61,1413511746,-720357798
,,,,2,62,-1153285455,-2042479419
,,,,2,64,-504488401,-2006123705
,,,,2,64,1349354365,59901432
,,,,2,65,-611517966,1023274408
,,,,2,68,-1592050398,717415268
,,,,2,68,1801355730,-1728062891
,,,,2,68,1496732599,-1708976650
2,17,-1310531299,1104190563,2,17,-565414594,-2020940674
2,17,-1310531299,1104190563,2,17,1384200079,-355303619
2,20,402785658,-373779718,2,20,1655083814,18534861
2,20,402785658,-373779718,2,20,-1415348470,-1013542073
2,20,402785658,-373779718,2,20,-39873583,848303367
2,20,-919413715,942310867,2,20,1655083814,18534861
2,20,-919413715,942310867,2,20,-1415348470,-1013542073
2,20,-919413715,942310867,2,20,-39873583,848303367
2,21,-1994005892,339408572,2,21,-273879467,1227029362
2,21,-1994005892,339408572,2,21,-1601627492,673235991
2,22,-1547768275,-951178070,2,22,841876929,521149822
2,22,1419724059,-85069684,2,22,841876929,521149822
2,23,1481115805,-1845450604,2,23,269860970,-1190407162
2,23,1481115805,-1845450604,2,23,-476169819,1439120770
2,24,393901102,1277329155,2,24,-396620509,373593384
2,28,-11287094,-2128835851,2,28,1220798445,1280431588
2,28,-1081545232,854118892,2,28,1220798445,1280431588
2,28,31377651,-948608453,2,28,1220798445,1280431588
2,29,1568477724,-1984429311,2,29,2087519942,-446645496
2,29,1568477724,-1984429311,2,29,-796375681,-1090344347
2,29,1436192166,-1302737172,2,29,2087519942,-446645496
2,29,1436192166,-1302737172,2,29,-796375681,-1090344347
2,30,802087732,1724367331,2,30,-1444089326,2074901212
2,30,268508973,1104344608,2,30,-1444089326,2074901212
2,33,-1706693927,1999196299,2,33,828413219,-1516822691
2,33,-1706693927,1999196299,2,33,600048449,-61499527
2,33,2128943455,1581992704,2,33,828413219,-1516822691
2,33,2128943455,1581992704,2,33,600048449,-61499527
2,36,-1166176937,2028249495,2,36,913125824,-1535355521
2,39,-696969187,-616883908,2,39,-787874010,1721757685
2,39,-696969187,-616883908,2,39,1457510531,-1690597700
2,39,-1705149323,-2077517559,2,39,-787874010,1721757685
2,39,-1705149323,-2077517559,2,39,1457510531,-1690597700
2,39,-788684369,-1203477992,2,39,-787874010,1721757685
2,39,-788684369,-1203477992,2,39,1457510531,-1690597700
2,41,1527306214,1486432518,2,41,-1081956178,-407394685
2,41,1527306214,1486432518,2,41,-1965988050,624540587
2,41,1527306214,1486432518,2,41,427648679,-1329064790
2,41,1527306214,1486432518,2,41,901787265,-2010246117
2,42,-400586230,-85567446,2,42,-1184425975,1299606687
2,43,2098200414,1706677523,2,43,-1632298623,-1977953623
2,43,-332543616,-744309393,2,43,-1632298623,-1977953623
2,44,1136829920,1435634036,2,44,17937590,-192451631
2,47,-132550668,1506305608,2,47,-744632397,-1272794057
2,47,228610860,-76176727,2,47,-744632397,-1272794057
2,48,1513503408,1265018704,2,48,-105409933,-469266930
2,50,-957779485,500893454,2,50,1718287014,1245940993
2,50,-957779485,500893454,2,50,-1676669317,-373865053
2,50,-957779485,500893454,2,50,-30327161,1382923105
2,50,-671772634,1702536077,2,50,1718287014,1245940993
2,50,-671772634,1702536077,2,50,-1676669317,-373865053
2,50,-671772634,1702536077,2,50,-30327161,1382923105
2,50,-141068474,-1110835611,2,50,1718287014,1245940993
2,50,-141068474,-1110835611,2,50,-1676669317,-373865053
2,50,-141068474,-1110835611,2,50,-30327161,1382923105
2,53,192046811,-1905366705,2,53,-676610323,829432161
2,53,192046811,-1905366705,2,53,277340962,-477458969
2,55,-983812377,513115295,2,55,-1323928366,-640838567
2,67,967043832,-1346134263,2,67,1492006994,785193307
2,67,967043832,-1346134263,2,67,321658605,-379428534
2,67,-797688858,-1393347688,2,67,1492006994,785193307
2,67,-797688858,-1393347688,2,67,321658605,-379428534
2,72,62263955,2142769757,,,,
2,78,-316634324,958726198,,,,
2,82,-1878319414,347721503,,,,
2,82,-1505831879,722223355,,,,
2,91,1512174502,1898146254,,,,
2,91,1833710284,-202971859,,,,
2,92,1267773593,700906945,,,,
3,5,-521008507,-267379643,,,,
3,5,1235373629,1428810767,,,,
,,,,2,70,-1750620049,-446880438
,,,,2,75,-22458265,1805976787
,,,,2,75,425393037,1517542913
,,,,2,79,973925012,-44069333
,,,,2,95,-609938422,-1411856732
,,,,2,95,-1996341905,-372948113
,,,,2,97,1510212086,-966900695
,,,,2,98,-1848251582,-1276834334
,,,,2,99,-982731290,-1300322592
,,,,2,99,-480595866,1050451571
,,,,2,99,2123250587,96036728
,,,,3,4,-1909035015,-1995794971
,,,,3,4,-900944547,1577233450
,,,,3,7,-465741890,-1860770185
,,,,3,9,-570538056,1065013294
2,69,1774732998,-1587177299,2,69,-185492437,1512668619
2,69,1774732998,-1587177299,2,69,295838708,-1709571430
2,71,943352347,-167340809,2,71,-2012482738,-191863004
2,71,943352347,-167340809,2,71,-1494056248,658148330
2,71,943352347,-167340809,2,71,-1351378589,-1383474530
2,71,-1658027977,646538982,2,71,-2012482738,-191863004
2,71,-1658027977,646538982,2,71,-1494056248,658148330
2,71,-1658027977,646538982,2,71,-1351378589,-1383474530
2,73,-1572260597,1898503488,2,73,-1799519748,-2035864074
2,73,-1572260597,1898503488,2,73,-621700510,-1030902070
2,73,2048213331,-737881352,2,73,-1799519748,-2035864074
2,73,2048213331,-737881352,2,73,-621700510,-1030902070
2,74,-208140731,-2020818521,2,74,619790822,1032197003
2,74,-208140731,-2020818521,2,74,1867309229,-1394192166
2,74,2116092261,237917025,2,74,619790822,1032197003
2,74,2116092261,237917025,2,74,1867309229,-1394192166
2,74,366458783,-1441384762,2,74,619790822,1032197003
2,74,366458783,-1441384762,2,74,1867309229,-1394192166
2,76,119210363,-1805614442,2,76,510490869,-991640688
2,76,119210363,-1805614442,2,76,1216043908,1778574470
2,76,1176499251,578579242,2,76,510490869,-991640688
2,76,1176499251,578579242,2,76,1216043908,1778574470
2,76,385800828,-2014141974,2,76,510490869,-991640688
2,76,385800828,-2014141974,2,76,1216043908,1778574470
2,76,106449269,1258723370,2,76,510490869,-991640688
2,76,106449269,1258723370,2,76,1216043908,1778574470
2,77,2058473470,-615827322,2,77,-1735605901,-248967809
2,77,177116668,1746481661,2,77,-1735605901,-248967809
2,81,2079084758,-2066947836,2,81,22350058,-1261784159
2,84,-189492362,9649867,2,84,1113698419,-1485232316
2,84,1482320160,2014646167,2,84,1113698419,-1485232316
2,84,-1900193441,901465781,2,84,1113698419,-1485232316
2,85,1255615493,552783160,2,85,1261637523,-91932753
2,85,1071562007,-314980717,2,85,1261637523,-91932753
2,86,1088544769,1162745014,2,86,-1111842470,-1803002693
2,86,1088544769,1162745014,2,86,-2046191597,932139289
2,87,1723247157,-871774564,2,87,-748407497,1859556214
2,87,1723247157,-871774564,2,87,-42433953,1409793675
2,87,1723247157,-871774564,2,87,274352165,935078091
2,87,1338882161,671588983,2,87,-748407497,1859556214
2,87,1338882161,671588983,2,87,-42433953,1409793675
2,87,1338882161,671588983,2,87,274352165,935078091
2,88,1976166342,-567632835,2,88,-1721345258,192453549
2,90,361558978,-332859691,2,90,257175529,1134089242
2,93,-1274677621,-1609969356,2,93,-907420464,-1993384795
